Y	M	D	H	Rain	Temp
0	0	23	13	0	28.6
0	0	23	14	0	29
0	0	23	15	0	29.1
0	0	23	16	0	28.3
0	0	23	17	0	25.75
0	0	23	18	0	18.15
0	0	23	19	0	13.9
0	0	23	20	0	12.15
0	0	23	21	0	11.4
0	0	23	22	0	10.75
0	0	23	23	0	11
0	0	24	0	0	10.5
0	0	24	1	0	8.35
0	0	24	2	0	7
0	0	24	3	0	6.05
0	0	24	4	0	6.7
0	0	24	5	0	6.1
0	0	24	6	0	14.45
0	0	24	7	0	16.2
0	0	24	8	0	19.45
0	0	24	9	0	21
0	0	24	10	0	23.35
0	0	24	11	0	25.05
0	0	24	12	0	27.15
0	0	24	13	0	28.45
0	0	24	14	0	29.45
0	0	24	15	0	30.05
0	0	24	16	0	29.2
0	0	24	17	0	26.65
0	0	24	18	0	19.8
0	0	24	19	0	15.25
0	0	24	20	0	14.05
0	0	24	21	0	13.75
0	0	24	22	0	12.9
0	0	24	23	0	10.95
0	0	25	0	0	10.5
0	0	25	1	0	8.55
0	0	25	2	0	7.8
0	0	25	3	0	5.8
0	0	25	4	0	5.35
0	0	25	5	0	5
0	0	25	6	0	5.95
0	0	25	7	0	15.65
0	0	25	8	0	19.75
0	0	25	9	0	21.95
0	0	25	10	0	24.25
0	0	25	11	0	25.55
0	0	25	12	0	27.8
0	0	25	13	0	28.9
0	0	25	14	0	29.7
0	0	25	15	0	29.3
0	0	25	16	0	28.65
0	0	25	17	0	26.5
0	0	25	18	0	19.85
0	0	25	19	0	13.65
0	0	25	20	0	11.55
0	0	25	21	0	10.65
0	0	25	22	0	9.8
0	0	25	23	0	9.25
0	0	26	0	0	9.8
0	0	26	1	0	6.8
0	0	26	2	0	6.05
0	0	26	3	0	4.65
0	0	26	4	0	3.9
0	0	26	5	0	3.95
0	0	26	6	0	5.55
0	0	26	7	0	15
0	0	26	8	0	18.6
0	0	26	9	0	21.15
0	0	26	10	0	23.1
0	0	26	11	0	25.2
0	0	26	12	0	27.5
0	0	26	13	0	28.75
0	0	26	14	0	29.5
0	0	26	15	0	29.05
0	0	26	16	0	28.3
0	0	26	17	0	26.3
0	0	26	18	0	19.6
0	0	26	19	0	13.7
0	0	26	20	0	11.8
0	0	26	21	0	11.25
0	0	26	22	0	10.35
0	0	26	23	0	10.95
0	0	27	0	0	10.3
0	0	27	1	0	10.35
0	0	27	2	0	8.95
0	0	27	3	0	6.85
0	0	27	4	0	6.35
0	0	27	5	0	5.6
0	0	27	6	0	4.1
0	0	27	7	0	7.8
0	0	27	8	0	19.35
0	0	27	9	0	21.2
0	0	27	10	0	23.35
0	0	27	11	0	24.95
0	0	27	12	0	26.7
0	0	27	13	0	28.3
0	0	27	14	0	29.05
0	0	27	15	0	29.05
0	0	27	16	0	28.1
0	0	27	17	0	25.9
0	0	27	18	0	19.55
0	0	27	19	0	13.15
0	0	27	20	0	11.4
0	0	27	21	0	10.4
0	0	27	22	0	10.4
0	0	27	23	0	11.25
0	0	28	0	0	10.7
0	0	28	1	0	7.5
0	0	28	2	0	6.75
0	0	28	3	0	7.15
0	0	28	4	0	6.65
0	0	28	5	0	4.1
0	0	28	6	0	3.35
0	0	28	7	0	6.8
0	0	28	8	0	17.6
0	0	28	9	0	20
0	0	28	10	0	22.25
0	0	28	11	0	24.45
0	0	28	12	0	26.95
0	0	28	13	0	29.05
0	0	28	14	0	29.65
0	0	28	15	0	30.15
0	0	28	16	0	28.75
0	0	28	17	0	26.65
0	0	28	18	0	18.3
0	0	28	19	0	15.45
0	0	28	20	0	12.25
0	0	28	21	0	10.75
0	0	28	22	0	11
0	0	28	23	0	12.4
0	0	29	0	0	12.6
0	0	29	1	0	12.25
0	0	29	2	0	12.2
0	0	29	3	0	10.9
0	0	29	4	0	10.3
0	0	29	5	0	9.4
0	0	29	6	0	8.3
0	0	29	7	0	11.5
0	0	29	8	0	17.9
0	0	29	9	0	24.1
0	0	29	10	0	27.4
0	0	29	11	0	28
0	0	29	12	0	28.6
0	0	29	13	0	29.7
0	0	29	14	0	30.55
0	0	29	15	0	30.45
0	0	29	16	0	29.25
0	0	29	17	0	26.85
0	0	29	18	0	19.05
0	0	29	19	0	15.85
0	0	29	20	0	19.7
0	0	29	21	0	16.35
0	0	29	22	0	15.5
0	0	29	23	0	14.25
0	0	30	0	0	13.65
0	0	30	1	0	11.15
0	0	30	2	0	9.65
0	0	30	3	0	10.7
0	0	30	4	0	10.05
0	0	30	5	0	8.85
0	0	30	6	0	9.65
0	0	30	7	0	11.95
0	0	30	8	0	19
0	0	30	9	0	25.4
0	0	30	10	0	27.5
0	0	30	11	0	28.95
0	0	30	12	0	30.05
0	0	30	13	0	30.75
0	0	30	14	0	30.95
0	0	30	15	0	30.9
0	0	30	16	0	30.15
0	0	30	17	0	27.25
0	0	30	18	0	20.15
0	0	30	19	0	15.25
0	0	30	20	0	12.45
0	0	30	21	0	12.25
0	0	30	22	0	12.1
0	0	30	23	0	12.1
0	1	31	0	0	11.95
0	1	31	1	0	11.15
0	1	31	2	0	10.55
0	1	31	3	0	10.35
0	1	31	4	0	9.55
0	1	31	5	0	7.6
0	1	31	6	0	8.2
0	1	31	7	0	8.6
0	1	31	8	0	20.15
0	1	31	9	0	23.3
0	1	31	10	0	25.6
0	1	31	11	0	26.9
0	1	31	12	0	28.45
0	1	31	13	0	30.1
0	1	31	14	0	30.65
0	1	31	15	0	30.6
0	1	31	16	0	29.65
0	1	31	17	0	27.55
0	1	31	18	0	19.25
0	1	31	19	0	14.55
0	1	31	20	0	13.5
0	1	31	21	0	12.25
0	1	31	22	0	11.6
0	1	31	23	0	13.15
0	1	32	0	0	12.4
0	1	32	1	0	13.15
0	1	32	2	0	11.75
0	1	32	3	0	10.6
0	1	32	4	0	12
0	1	32	5	0	11.5
0	1	32	6	0	6.8
0	1	32	7	0	10.35
0	1	32	8	0	18.05
0	1	32	9	0	22.75
0	1	32	10	0	26.05
0	1	32	11	0	27.5
0	1	32	12	0	28.85
0	1	32	13	0	30.4
0	1	32	14	0	31.25
0	1	32	15	0	30.95
0	1	32	16	0	29.7
0	1	32	17	0	27.25
0	1	32	18	0	19.85
0	1	32	19	0	15.25
0	1	32	20	0	15.7
0	1	32	21	0	15.95
0	1	32	22	0	15.25
0	1	32	23	0	13.65
0	1	33	0	0	12.85
0	1	33	1	0	13.85
0	1	33	2	0	13.35
0	1	33	3	0	12.15
0	1	33	4	0	10.85
0	1	33	5	0	9.45
0	1	33	6	0	6.45
0	1	33	7	0	9.2
0	1	33	8	0	18.3
0	1	33	9	0	22.85
0	1	33	10	0	26.15
0	1	33	11	0	28.25
0	1	33	12	0	29.65
0	1	33	13	0	30.5
0	1	33	14	0	30.8
0	1	33	15	0	30.55
0	1	33	16	0	29.7
0	1	33	17	0	27.55
0	1	33	18	0	19.85
0	1	33	19	0	16
0	1	33	20	0	19.9
0	1	33	21	0	17.55
0	1	33	22	0	17.2
0	1	33	23	0	15.6
0	1	34	0	0	14.3
